Pull Request Number,Title,Author,Created At,Additions,Deletions,Commits,Merged,Weekday,Year and Month,Total Changes
5340,Fix GetProcessGroupAffinity call.,Sopel97,2024-06-02 18:41:11+00:00,1,1,1,False,6,2024-06-01,2
5339,Simplify continuation histories,FauziAkram,2024-06-02 15:43:24+00:00,2,2,2,False,6,2024-06-01,4
5338,"Revert ""Adjust return bonus from tt cutoffs at fail highs""",vondele,2024-06-02 07:20:50+00:00,0,5,1,False,6,2024-06-01,5
5337,Simplify statScore divisor into a constant,linrock,2024-06-01 17:57:55+00:00,1,1,1,False,5,2024-06-01,2
5336,Adjust return bonus from tt cutoffs at fail highs.,Vizvezdenec,2024-06-01 17:46:51+00:00,5,0,1,False,5,2024-06-01,5
5335,Avoid changing bestvalue,vondele,2024-06-01 16:57:42+00:00,1,1,1,False,5,2024-06-01,2
5334,Simplify tm;  removing faster 1st move and 1.13 extraTime.,xoto10,2024-06-01 16:16:16+00:00,9,21,1,False,5,2024-06-01,30
5333,Update default smallnet to nn-37f18f62d772.nnue,linrock,2024-06-01 14:37:59+00:00,1,1,1,False,5,2024-06-01,2
5332,Add helpers for managing aligned memory,Disservin,2024-06-01 13:55:11+00:00,492,312,3,False,5,2024-06-01,804
5331,Simplify Away Razoring History Adjustments,xu-shawn,2024-06-01 10:06:17+00:00,7,6,2,False,5,2024-06-01,13
5329,Use main history to better judge what to razor,dubslow,2024-06-01 05:51:27+00:00,5,3,1,False,5,2024-06-01,8
5328,Simplify evaluation constants,cj5716,2024-06-01 04:48:12+00:00,15,21,1,False,5,2024-06-01,36
5327,Simplify 50 move rule dampening,MinetaS,2024-05-31 21:16:06+00:00,2,2,1,False,4,2024-05-01,4
5326,Simplify histories movepick formula,FauziAkram,2024-05-31 20:04:29+00:00,1,1,1,False,4,2024-05-01,2
5325,MCP more after a bad singular search,rn5f107s2,2024-05-31 07:04:13+00:00,7,3,1,False,4,2024-05-01,10
5324,Simplify less time on first move.,xoto10,2024-05-31 03:39:31+00:00,5,13,1,False,4,2024-05-01,18
5323,Quadratic smallnet threshold with re-evaluation,linrock,2024-05-31 03:22:12+00:00,3,2,1,False,4,2024-05-01,5
5322,Simplify away the time reduction on first move,xoto10,2024-05-31 03:15:44+00:00,10,13,2,False,4,2024-05-01,23
5321,Tweak first picked move (ttMove) reduction rule.,FauziAkram,2024-05-31 01:03:17+00:00,3,3,4,False,4,2024-05-01,6
5319,Fix cross from Linux to Windows,vondele,2024-05-30 19:45:07+00:00,5,0,1,False,3,2024-05-01,5
5317,Numa fixes,vondele,2024-05-30 18:32:48+00:00,309,200,4,False,3,2024-05-01,509
5316,Simplifying the malus for putting piece en prise formula,FauziAkram,2024-05-30 17:48:39+00:00,1,2,1,False,3,2024-05-01,3
5315,On linux use sysfs to determine processor to NUMA node mapping.,Sopel97,2024-05-30 16:34:46+00:00,100,77,1,False,3,2024-05-01,177
5314,Allow tt cutoffs for shallower depths in certain conditions.,Vizvezdenec,2024-05-30 16:29:24+00:00,1,1,1,False,3,2024-05-01,2
5313,Replace std::from_chars with std::stoull due to bad support.,Sopel97,2024-05-30 16:19:08+00:00,4,8,1,False,3,2024-05-01,12
5312,Fix process' processor affinity determination on Windows. Specialize and privatize NumaConfig::get_process_affinity.,Sopel97,2024-05-30 13:10:57+00:00,165,93,1,False,3,2024-05-01,258
5311,Fix concurrency counting for windows systems with more than 1 processor group,Disservin,2024-05-30 07:42:10+00:00,41,25,1,False,3,2024-05-01,66
5310,Add extension condition to cutoffCnt,Viren6,2024-05-30 07:20:02+00:00,1,1,1,False,3,2024-05-01,2
5309,tweak and update the WDL model,robertnurnberg,2024-05-30 07:09:06+00:00,6,6,1,False,3,2024-05-01,12
5308,Update default main net to nn-ddcfb9224cdb.nnue,linrock,2024-05-30 05:08:35+00:00,1,1,1,False,3,2024-05-01,2
5306,Remove Queen threatenedByMinor,FauziAkram,2024-05-30 00:38:28+00:00,1,2,1,False,3,2024-05-01,3
5305,Simplify blending eval with nnue complexity,linrock,2024-05-29 17:50:12+00:00,1,1,1,False,2,2024-05-01,2
5304,Simplifying malus for putting piece en prise formula,FauziAkram,2024-05-29 13:21:47+00:00,3,4,2,False,2,2024-05-01,7
5303,Merge pawn count terms using their average,snicolet,2024-05-29 07:16:57+00:00,2,4,1,False,2,2024-05-01,6
5302,Deduplicate pawn count expressions,MinetaS,2024-05-29 00:37:36+00:00,2,4,1,False,2,2024-05-01,6
5301,Simplify Fail Low Bonus Formula,xu-shawn,2024-05-28 22:52:36+00:00,11,9,2,False,1,2024-05-01,20
5300,Simplify Fail Low Bonus Formula,xu-shawn,2024-05-28 22:51:19+00:00,4,13,1,False,1,2024-05-01,17
5299,Tune Fail Low Bonus,xu-shawn,2024-05-28 21:24:21+00:00,7,6,1,False,1,2024-05-01,13
5298,Fix MSVC NUMA compile issues,mstembera,2024-05-28 20:37:14+00:00,6,3,1,False,1,2024-05-01,9
5297,Add compensation factor to adjust extra time according to time control.,xoto10,2024-05-28 18:22:35+00:00,21,5,1,False,1,2024-05-01,26
5296,apply const to prefetch parameter,Disservin,2024-05-28 16:02:21+00:00,4,4,1,False,1,2024-05-01,8
5295,Tweak return value in futility pruning,FauziAkram,2024-05-28 10:56:56+00:00,1,1,1,False,1,2024-05-01,2
5293,Simplify Away Quadruple Extension,xu-shawn,2024-05-27 23:20:18+00:00,1,3,1,False,0,2024-05-01,4
5292,Simplify Away TT Cutoff Return Value Adjustments,xu-shawn,2024-05-27 21:45:39+00:00,1,3,1,False,0,2024-05-01,4
5291,Reduce less on larger window,peregrineshahin,2024-05-27 20:25:02+00:00,1,1,1,False,0,2024-05-01,2
5290,combine pawn count multipliers,gahtan-syarif,2024-05-27 18:52:35+00:00,3,5,2,False,0,2024-05-01,8
5289,Remove rootDelta branch,peregrineshahin,2024-05-26 10:11:30+00:00,1,2,1,False,6,2024-05-01,3
5288,Lower smallnet threshold with tuned eval params,linrock,2024-05-24 15:07:04+00:00,10,11,2,False,4,2024-05-01,21
5287,Simplify material weights in evaluation,snicolet,2024-05-23 22:05:28+00:00,7,7,1,False,3,2024-05-01,14
5286,VVLTC search tune,XInTheDark,2024-05-23 13:30:48+00:00,44,44,1,False,3,2024-05-01,88
5285,NUMA memory replication for NNUE weights,Sopel97,2024-05-23 13:06:24+00:00,1418,289,3,False,3,2024-05-01,1707
5284,Remove material imbalance param when adjusting optimism,linrock,2024-05-23 04:46:25+00:00,2,2,1,False,3,2024-05-01,4
5283,"Revert ""Reduce When TTValue is Above Alpha""",XInTheDark,2024-05-23 00:41:43+00:00,1,4,2,False,3,2024-05-01,5
5282,Optimise pairwise multiplication,cj5716,2024-05-22 02:33:53+00:00,62,39,1,False,2,2024-05-01,101
5281,Simplify Away History Updates in Multicut,xu-shawn,2024-05-21 22:18:30+00:00,0,5,1,False,1,2024-05-01,5
5280,Lower smallnet threshold with updated eval divisors,linrock,2024-05-21 18:17:13+00:00,4,4,1,False,1,2024-05-01,8
5279,Comment about re-evaluating positions,linrock,2024-05-21 15:09:32+00:00,1,0,1,False,1,2024-05-01,1
5278,Remove cutoffCnt margin adjustment in razoring,MinetaS,2024-05-21 03:13:00+00:00,1,2,1,False,1,2024-05-01,3
5277,Refine Evaluation Scaling with Piece-Specific Weights,FauziAkram,2024-05-20 23:30:42+00:00,4,2,1,False,0,2024-05-01,6
5276,Reduce When TTValue is Above Alpha,xu-shawn,2024-05-20 22:34:07+00:00,5,1,3,False,0,2024-05-01,6
5275,Rescale pawn history updates.,Vizvezdenec,2024-05-20 21:43:52+00:00,2,2,1,False,0,2024-05-01,4
5274,Simplify NMP Formula,xu-shawn,2024-05-20 14:57:29+00:00,1,1,1,False,0,2024-05-01,2
5273,Use same shuffling Constant for both nets,FauziAkram,2024-05-20 01:22:18+00:00,1,1,1,False,0,2024-05-01,2
5272,Update correction history in case of successful null move pruning,Vizvezdenec,2024-05-20 00:24:43+00:00,7,0,1,False,0,2024-05-01,7
5271,Re-eval only if smallnet output flips from simple eval,linrock,2024-05-19 20:12:04+00:00,1,1,1,False,6,2024-05-01,2
5270,Simplify the recently introduced ply-based cmh bonus factor.,locutus2,2024-05-19 18:03:44+00:00,2,0,1,False,6,2024-05-01,2
5269,Combine the multiple bitwise operations with the from and to squares into a single bitwise expression.,FauziAkram,2024-05-19 17:54:15+00:00,4,5,1,False,6,2024-05-01,9
5268,Do more aggressive pawn history updates.,Vizvezdenec,2024-05-19 15:51:18+00:00,2,2,1,False,6,2024-05-01,4
5267,Tweak continuation history bonus dependent on ply.,locutus2,2024-05-19 09:48:23+00:00,2,0,1,False,6,2024-05-01,2
5266,Addition of new scaling comments,Viren6,2024-05-19 02:01:10+00:00,19,11,2,False,6,2024-05-01,30
5265,"Revert ""Simplify Away Quadruple Extensions""",Viren6,2024-05-19 01:00:22+00:00,3,1,1,False,6,2024-05-01,4
5264,VVLTC search tune,XInTheDark,2024-05-18 15:44:36+00:00,42,42,1,False,5,2024-05-01,84
5263,Functional simplification in the transposition table,FauziAkram,2024-05-18 14:56:57+00:00,1,1,1,False,5,2024-05-01,2
5262,If verification search fails low;  return beta,FauziAkram,2024-05-18 10:47:46+00:00,2,0,1,False,5,2024-05-01,2
5261,Simplify ClippedReLU,cj5716,2024-05-18 08:26:30+00:00,30,39,1,False,5,2024-05-01,69
5260,Simplify away adjustEval lambda,linrock,2024-05-18 08:02:15+00:00,9,17,1,False,5,2024-05-01,26
5259,Simplify Away Quadruple Extensions,xu-shawn,2024-05-18 04:30:22+00:00,1,3,1,False,5,2024-05-01,4
5258,Use one nnue pawn count multiplier,linrock,2024-05-18 01:29:37+00:00,4,4,1,False,5,2024-05-01,8
5257,Tweak NMP Formula,xu-shawn,2024-05-18 00:32:00+00:00,1,1,1,False,5,2024-05-01,2
5256,Early�Exit�in�Bitboards::sliding_attack(),FauziAkram,2024-05-17 22:24:58+00:00,5,1,1,False,4,2024-05-01,6
5255,Move smallnet threshold logic into a function,linrock,2024-05-17 21:18:38+00:00,7,6,1,False,4,2024-05-01,13
5254,Update default main net to nn-c721dfca8cd3.nnue,linrock,2024-05-17 19:41:40+00:00,1,1,1,False,4,2024-05-01,2
5252,Lower smallnet threshold linearly as pawn count decreases,linrock,2024-05-16 05:39:56+00:00,3,3,1,False,3,2024-05-01,6
5251,"Revert ""Reduce more when improving and ttvalue is lower than alpha""",XInTheDark,2024-05-15 22:55:48+00:00,0,3,1,False,2,2024-05-01,3
5250,Use same nnue divisor for both nets,linrock,2024-05-15 17:13:57+00:00,4,4,1,False,2,2024-05-01,8
5249,chore: fix misleading comment,raklaptudirm,2024-05-15 16:57:33+00:00,1,1,2,False,2,2024-05-01,2
5248,Simplifying improving and worsening deduction formulas,FauziAkram,2024-05-15 11:25:57+00:00,2,2,1,False,2,2024-05-01,4
5247,Fix viewer experience patch in thread voting,peregrineshahin,2024-05-15 04:47:00+00:00,3,3,1,False,2,2024-05-01,6
5246,Use same eval divisor for both nets,linrock,2024-05-15 03:31:05+00:00,4,5,1,False,2,2024-05-01,9
5245,More reduction if position is improving but value from TT doesn't exceeds alpha.,locutus2,2024-05-15 02:23:43+00:00,7,5,1,False,2,2024-05-01,12
5244,ReEval fix,mstembera,2024-05-14 21:34:10+00:00,4,1,1,False,1,2024-05-01,5
5243,Add extra bonus to pawn history for a move that caused a fail low.,Vizvezdenec,2024-05-14 17:13:37+00:00,6,1,1,False,1,2024-05-01,7
5242,Add extra bonus for high depth condition,FauziAkram,2024-05-13 11:09:28+00:00,3,3,1,False,0,2024-05-01,6
5241,Add extra bonus for high depth condition,FauziAkram,2024-05-13 01:14:26+00:00,42,42,1,False,0,2024-05-01,84
5240,VVLTC search tune,XInTheDark,2024-05-12 23:37:59+00:00,42,42,1,False,6,2024-05-01,84
5239,Optimize update_accumulator_refresh_cache(),mstembera,2024-05-12 20:05:44+00:00,16,6,1,False,6,2024-05-01,22
5238,Re-evaluate some small net positions for more accurate evals,linrock,2024-05-12 17:48:10+00:00,4,1,1,False,6,2024-05-01,5
5237,Simplify npm constants when adjusting eval,linrock,2024-05-12 17:31:06+00:00,4,6,1,False,6,2024-05-01,10
5235,5% less time on first move.,xoto10,2024-05-12 09:18:25+00:00,17,11,1,False,6,2024-05-01,28
5234,Expr5,peregrineshahin,2024-05-09 19:45:55+00:00,5,1,1,False,3,2024-05-01,6
5233,Adjust standpat return value in qsearch,Vizvezdenec,2024-05-09 18:12:44+00:00,2,0,1,False,3,2024-05-01,2
5232,Remove istringstream and ostringstream from Position,EarlyEdition,2024-05-09 18:05:18+00:00,24,26,2,False,3,2024-05-01,50
5231,Simplify Away Quiet Check Evasions Pruning,xu-shawn,2024-05-09 16:36:33+00:00,0,10,1,False,3,2024-05-01,10
5229,Fix usage of abs vs std::abs,xu-shawn,2024-05-09 07:11:49+00:00,1,1,1,False,3,2024-05-01,2
5228,Depth dependent statscore based reductions,vondele,2024-05-09 05:29:29+00:00,1,1,1,False,3,2024-05-01,2
5227,IIR on cutnodes if there is a ttMove but the ttBound is upper,rn5f107s2,2024-05-09 05:03:12+00:00,2,2,1,False,3,2024-05-01,4
5226,Simplify Away Negative Extension When TT Value Is Below the Value of Reduced Search,xu-shawn,2024-05-09 02:36:59+00:00,0,4,1,False,3,2024-05-01,4
5225,Simplify depth formula based on score improvement,FauziAkram,2024-05-08 23:58:29+00:00,1,1,1,False,2,2024-05-01,2
5224,Refactor quiet moves pruning in qsearch.,Vizvezdenec,2024-05-08 19:01:42+00:00,3,2,1,False,2,2024-05-01,5
5223,Tweak reduction formula based on moves history,FauziAkram,2024-05-07 13:48:58+00:00,1,1,1,False,1,2024-05-01,2
5221,Remove conthist 3 from moves loop pruning,Vizvezdenec,2024-05-07 06:28:40+00:00,0,1,1,False,1,2024-05-01,1
5220,Simplify away conthist 3 from statscore.,Vizvezdenec,2024-05-06 17:19:33+00:00,1,2,1,False,0,2024-05-01,3
5219,idk update i guess,SocksPls,2024-05-05 17:14:42+00:00,9,3,5,False,6,2024-05-01,12
5217,Adjust history usage in moves loop pruning.,Vizvezdenec,2024-05-05 02:22:28+00:00,1,1,1,False,6,2024-05-01,2
5216,VVLTC search tune,XInTheDark,2024-05-05 02:09:14+00:00,40,40,3,False,6,2024-05-01,80
5215,Some history fixes and tidy-up,cj5716,2024-05-05 01:18:30+00:00,28,23,1,False,6,2024-05-01,51
5214,Remove PSQT-only mode,cj5716,2024-05-05 01:14:27+00:00,169,241,1,False,6,2024-05-01,410
5213,Revert moveCountPruning alleged speedup,FauziAkram,2024-05-05 00:17:24+00:00,1,2,1,False,6,2024-05-01,3
5212,Simplify shuffling and optimism divisors to constants,FauziAkram,2024-05-04 18:47:45+00:00,7,8,1,False,5,2024-05-01,15
5211,Introduce Quadruple Extensions,Viren6,2024-05-04 16:31:20+00:00,9,14,1,False,5,2024-05-01,23
5210,Simplify shuffling divisor to a constant,FauziAkram,2024-05-04 12:35:33+00:00,5,6,1,False,5,2024-05-01,11
5209,Add extra bonuses to some moves that forced a fail low.,Vizvezdenec,2024-05-04 07:35:47+00:00,2,1,1,False,5,2024-05-01,3
5207,Simplify accumulator refreshes,cj5716,2024-05-02 00:46:32+00:00,6,6,1,False,3,2024-05-01,12
5206,Respell Move::None and Move::Null to reflect that they're constants,dubslow,2024-05-01 13:23:18+00:00,57,60,1,False,2,2024-05-01,117
5205,Improve commentary about DEPTH constants,dubslow,2024-05-01 13:06:22+00:00,43,25,3,False,2,2024-05-01,68
5204,Clear Workers after changing the network,Disservin,2024-05-01 12:33:27+00:00,10,3,1,False,2,2024-05-01,13
5203,psqtOnly finny cache bug fix,mstembera,2024-04-30 23:30:43+00:00,26,32,1,False,1,2024-04-01,58
5202,Optimise NNUE Accumulator updates,cj5716,2024-04-29 05:43:21+00:00,38,38,1,False,0,2024-04-01,76
5201,don't create and destroy an unused accumulator cache when calling Eval::trace in check,Ciekce,2024-04-29 01:01:11+00:00,2,2,1,False,0,2024-04-01,4
5200,Use capture history to better judge which sacrifices to explore,dubslow,2024-04-28 23:18:17+00:00,6,5,1,False,6,2024-04-01,11
5199,More reduction at cut nodes which are not a former PV node.,locutus2,2024-04-28 19:18:32+00:00,3,0,1,False,6,2024-04-01,3
5198,Simplify recently introduced generalized non-pawn material divisor back to a constant.,locutus2,2024-04-28 14:38:31+00:00,7,7,1,False,6,2024-04-01,14
5197,Combine remove and add in update_accumulator_refresh_cache().,mstembera,2024-04-28 08:05:55+00:00,109,203,1,False,6,2024-04-01,312
5195,Penalise the TT move in multicut,cj5716,2024-04-28 05:48:43+00:00,5,0,1,False,6,2024-04-01,5
5194,Cache small net using Finny w/ psqtOnly support,mstembera,2024-04-27 23:35:43+00:00,109,203,2,False,5,2024-04-01,312
5193,Output some basic info about the networks used,vondele,2024-04-27 16:12:03+00:00,5,1,1,False,5,2024-04-01,6
5192,Update uci.cpp,RainRat,2024-04-26 04:57:24+00:00,1,1,47,False,4,2024-04-01,2
5191,Fix missing initialization of AccumulatorCaches in Eval::trace,Disservin,2024-04-25 17:17:32+00:00,11,7,1,False,3,2024-04-01,18
5189,Use less time on recaptures,xoto10,2024-04-24 03:06:59+00:00,23,11,2,False,2,2024-04-01,34
5188,Restore NPS output for Perft,Disservin,2024-04-22 16:54:43+00:00,45,20,1,False,0,2024-04-01,65
5187,mf2 Parameters Tweak,FauziAkram,2024-04-22 11:45:14+00:00,35,35,4,False,0,2024-04-01,70
5186,Fix nodestime,MinetaS,2024-04-21 16:03:30+00:00,47,27,1,False,6,2024-04-01,74
5184,Tweak TT aging and replacement strategies,cj5716,2024-04-21 02:17:28+00:00,3,8,1,False,6,2024-04-01,11
5183,Implement accumulator refresh table,gab8192,2024-04-20 19:59:21+00:00,349,80,24,False,5,2024-04-01,429
5182,Move ALSR change to Workflow file,Disservin,2024-04-20 18:44:24+00:00,8,7,1,False,5,2024-04-01,15
5181,Improve CI,vondele,2024-04-20 14:05:03+00:00,112,7,1,False,5,2024-04-01,119
5178,update the WDL model,robertnurnberg,2024-04-16 06:25:50+00:00,2,2,2,False,1,2024-04-01,4
5177,Parameters Tune,FauziAkram,2024-04-15 13:11:41+00:00,38,38,4,False,0,2024-04-01,76
5176,fix clang compiler warning for avx512 build,gahtan-syarif,2024-04-15 04:59:55+00:00,2,4,4,False,0,2024-04-01,6
5172,Fix wrong sign for 200 TB score,Disservin,2024-04-13 20:01:44+00:00,8,7,2,False,5,2024-04-01,15
5169,Remove duplicated Position object in UCIEngine,Disservin,2024-04-12 17:07:49+00:00,67,46,2,False,4,2024-04-01,113
5168,Fix some wrong UCI output,peregrineshahin,2024-04-12 10:37:31+00:00,6,5,1,False,4,2024-04-01,11
5167,Fix wrong mate sign from recent uci refactoring,robertnurnberg,2024-04-12 06:41:03+00:00,2,2,1,False,4,2024-04-01,4
5165,Trivial cleanup,Vizvezdenec,2024-04-11 21:01:43+00:00,5,5,1,False,3,2024-04-01,10
5164,Simplify the depth-dependent part of the best value adjustment formula in main search,FauziAkram,2024-04-11 11:04:47+00:00,1,1,1,False,3,2024-04-01,2
5163,Refactor elapsed time checks in search,Disservin,2024-04-11 07:26:35+00:00,21,18,2,False,3,2024-04-01,39
5162,VVLTC search tune,XInTheDark,2024-04-11 03:44:07+00:00,39,39,1,False,3,2024-04-01,78
5161,Merge SF master in the cluster branch,Disservin,2024-04-10 16:49:06+00:00,11963,13717,327,True,2,2024-04-01,25680
5160,Avoid permuting inputs during transform(),mstembera,2024-04-08 20:14:42+00:00,64,10,1,False,0,2024-04-01,74
5159,Promote J�rg Oster To Stockfish Founders,WampServer,2024-04-08 05:37:08+00:00,1,1,2,False,0,2024-04-01,2
5158,Update outdated comments,Disservin,2024-04-07 12:27:13+00:00,3,4,4,False,6,2024-04-01,7
5154,Remove COMPILER from Make,Disservin,2024-04-05 09:39:27+00:00,11,16,2,False,4,2024-04-01,27
5153,Remove an useless assignment,gab8192,2024-04-03 21:58:01+00:00,1,1,1,False,2,2024-04-01,2
5151,Replace a `goto` with a loop.,Beanie496,2024-04-02 18:40:50+00:00,117,113,2,False,1,2024-04-01,230
5150,Explicitly use the LLD linker with Clang,ppigazzini,2024-04-02 11:25:48+00:00,4,3,1,False,1,2024-04-01,7
5149,Update NNUE architecture to SFNNv9 with larger L1 size of 3072,Viren6,2024-04-02 04:11:01+00:00,2,2,1,False,1,2024-04-01,4
5148,Trivial cleanup,Vizvezdenec,2024-03-31 20:13:00+00:00,5,5,1,False,6,2024-03-01,10
5147,Split UCI;  into Engine and UCIEngine,Disservin,2024-03-31 18:30:26+00:00,673,213,2,True,6,2024-03-01,886
5145,Avoid a note related to an ABI change,vondele,2024-03-30 09:58:23+00:00,7,1,1,False,5,2024-03-01,8
5144,Improve prerelease creation workflow,Disservin,2024-03-29 10:14:00+00:00,33,5,1,False,4,2024-03-01,38
5143,Fix usage of abs vs std::abs,vondele,2024-03-29 09:26:25+00:00,1,1,1,False,4,2024-03-01,2
5142,Simplify NMP Condition,xu-shawn,2024-03-29 02:12:08+00:00,3,2,2,False,4,2024-03-01,5
5141,Adjust best value after a pruned quiet move.,Vizvezdenec,2024-03-28 21:19:54+00:00,8,2,1,False,3,2024-03-01,10
5139,Update stockfish.yml,gamingmase7,2024-03-27 21:58:47+00:00,2,4,1,False,2,2024-03-01,6
5138,Vary time use with eval.,xoto10,2024-03-27 04:31:47+00:00,6,2,1,False,2,2024-03-01,8
5135,Remove material imbalance from nnue eval adjustment ,gahtan-syarif,2024-03-25 19:23:48+00:00,1,1,2,False,0,2024-03-01,2
5134,"Tweak the ""history and stats update bonus;  based on depth"" formulas",FauziAkram,2024-03-24 11:08:54+00:00,3,3,2,False,6,2024-03-01,6
5133,Add functionality to export small net,Disservin,2024-03-23 09:36:03+00:00,10,5,1,False,5,2024-03-01,15
5130,VVLTC search tune,XInTheDark,2024-03-21 23:01:23+00:00,38,38,4,False,3,2024-03-01,76
5128,Simplify TT aging,gahtan-syarif,2024-03-21 18:20:49+00:00,2,2,2,False,3,2024-03-01,4
5125,Unroll update_accumulator_refresh(),mstembera,2024-03-21 08:30:11+00:00,30,2,1,False,3,2024-03-01,32
5124,Revert extra operation in TT aging code,gahtan-syarif,2024-03-20 05:13:16+00:00,2,2,1,False,2,2024-03-01,4
5123,Remove reduction increase on repetition,gahtan-syarif,2024-03-20 02:46:11+00:00,0,4,1,False,2,2024-03-01,4
5122,Different eval parameters for smallnet and psqtOnly,gahtan-syarif,2024-03-18 19:21:17+00:00,28,15,11,False,0,2024-03-01,43
5121,base WDL model on material count and normalize evals dynamically,robertnurnberg,2024-03-17 14:54:41+00:00,76,58,2,False,6,2024-03-01,134
5120,Simplifying razoring formula,FauziAkram,2024-03-17 14:46:15+00:00,1,1,1,False,6,2024-03-01,2
5118,Consistent use of anonymous namespace,Disservin,2024-03-17 09:34:34+00:00,42,33,2,False,6,2024-03-01,75
5117,Slight speedup to NNUE inference,cj5716,2024-03-16 13:37:54+00:00,109,14,2,False,5,2024-03-01,123
5116,Make sure stats updates are never bigger than maximum value of stats.,Vizvezdenec,2024-03-15 15:57:49+00:00,3,3,3,False,4,2024-03-01,6
5115,Fix false positives from ThreadSanitizer,Disservin,2024-03-14 09:39:09+00:00,7,0,1,False,3,2024-03-01,7
5114,Make effort part of RootMove struct.,cj5716,2024-03-14 02:06:39+00:00,5,13,1,False,3,2024-03-01,18
