Author,Committer,Date,Message,Check Runs,Weekday,Year and Month
Disservin,vondele,2024-06-05 19:41:43+00:00,"Update clang-format to version 18  clang-format-18 is available in ubuntu noble(24.04); if you are on a version lower than that you can use the update script from llvm. https://apt.llvm.org/  Windows users should be able to download and use clang-format from their release builds https://github.com/llvm/llvm-project/releases or get the latest from msys2 https://packages.msys2.org/package/mingw-w64-x86_64-clang.  macOS users can resort to ""brew install clang-format"".  closes https://github.com/official-stockfish/Stockfish/pull/5365  No functional change",True,2,2024-06-01
Viren6,vondele,2024-06-05 19:33:46+00:00,Use futility margin in razoring margin  Uses futilityMargin * depth to set the razoring margin. This retains the quadratic depth scaling to preserve mate finding capabilities. This patch is nice because it increases the elo sensitivity of the futility margin heuristics.  Passed STC: https://tests.stockfishchess.org/tests/view/665f9892fd11ae7170b4849c LLR: 2.93 (-2.94;2.94) <0.00;2.00> Total: 39392 W: 10348 L: 10030 D: 19014 Ptnml(0-2): 99; 4585; 10009; 4905; 98  Passed LTC: https://tests.stockfishchess.org/tests/view/665f9d2dfd11ae7170b484a8 LLR: 2.95 (-2.94;2.94) <0.50;2.50> Total: 107910 W: 27521 L: 27053 D: 53336 Ptnml(0-2): 73; 11835; 29670; 12305; 72  closes https://github.com/official-stockfish/Stockfish/pull/5360  bench 1277173,True,2,2024-06-01
XInTheDark,vondele,2024-06-05 19:10:55+00:00,VVLTC search tune  Parameters were tuned with 199k games of VVLTC: https://tests.stockfishchess.org/tests/view/665c67e73542f91ad1c54fe2  Passed VVLTC 1st sprt: https://tests.stockfishchess.org/tests/view/665e9c83fd45fb0f907c837c LLR: 2.95 (-2.94;2.94) <0.00;2.00> Total: 83494 W: 21546 L: 21219 D: 40729 Ptnml(0-2): 6; 7707; 25993; 8036; 5  Passed VVLTC 2nd sprt: https://tests.stockfishchess.org/tests/view/665f650bfd45fb0f907cb360 LLR: 2.94 (-2.94;2.94) <0.50;2.50> Total: 151056 W: 38796 L: 38295 D: 73965 Ptnml(0-2): 5; 13742; 47536; 14237; 8  https://github.com/official-stockfish/Stockfish/pull/5359  Bench: 1154524,True,2,2024-06-01
mstembera,vondele,2024-06-05 19:07:07+00:00,Remove m512_hadd128x16_interleave()  This functionality is no longer used anywhere.  closes https://github.com/official-stockfish/Stockfish/pull/5357  No functional change,True,2,2024-06-01
Sopel97,vondele,2024-06-05 19:01:45+00:00,"Add NumaPolicy ""hardware"" option that bypasses current processor affinity.  Can be used in case a GUI (e.g. ChessBase 17 see #5307) sets affinity to a single processor group; but the user would like to use the full capabilities of the hardware.  Improves affinity handling on Windows in case of multiple available APIs and existing affinities.  closes https://github.com/official-stockfish/Stockfish/pull/5353  No functional change",True,2,2024-06-01
gahtan-syarif,vondele,2024-06-05 18:59:56+00:00,Simplify smallnet threshold  remove pawncount  Passed STC non-reg: https://tests.stockfishchess.org/tests/view/665e4548fd45fb0f907c80d5 LLR: 2.94 (-2.94;2.94) <-1.75;0.25> Total: 60896 W: 15710 L: 15518 D: 29668 Ptnml(0-2): 149; 7145; 15660; 7353; 141  Passed LTC non-reg: https://tests.stockfishchess.org/tests/view/665e4c52fd45fb0f907c815f LLR: 2.94 (-2.94;2.94) <-1.75;0.25> Total: 58068 W: 14773 L: 14590 D: 28705 Ptnml(0-2): 16; 6368; 16090; 6537; 23  closes https://github.com/official-stockfish/Stockfish/pull/5349  Bench: 1343156,True,2,2024-06-01
Disservin,Disservin,2024-06-04 06:26:35+00:00,Accumulate nodes over all bench positions not just the last  closes https://github.com/official-stockfish/Stockfish/pull/5352  No functional change,True,1,2024-06-01
Disservin,Disservin,2024-06-04 05:53:25+00:00,Properly initialize the TT in a multithreaded way again,False,1,2024-06-01
Disservin,Disservin,2024-06-03 21:28:23+00:00,Normalize some variable names and reuse existing logic  closes https://github.com/official-stockfish/Stockfish/pull/5346  No functional change,True,0,2024-06-01
dubslow,Disservin,2024-06-03 21:27:58+00:00,Remove delta; adjusted; complexity from nnue code  ...rather they're the consumer's concern whether to tweak the result or not.  Passed STC: https://tests.stockfishchess.org/tests/view/665cea9ffd45fb0f907c53bd LLR: 2.93 (-2.94;2.94) <-1.75;0.25> Total: 69696 W: 18101 L: 17918 D: 33677 Ptnml(0-2): 195; 8171; 17929; 8362; 191  Passed LTC: https://tests.stockfishchess.org/tests/view/665cf761fd45fb0f907c5406 LLR: 2.96 (-2.94;2.94) <-1.75;0.25> Total: 63720 W: 16344 L: 16165 D: 31211 Ptnml(0-2): 32; 6990; 17625; 7193; 20  Non functional except for rounding issues of OutputScale changing bench.  closes https://github.com/official-stockfish/Stockfish/pull/5344  Bench: 1378596,True,0,2024-06-01
dubslow,Disservin,2024-06-03 21:20:02+00:00,Adjust lowest depth constants to the natural place  Passed STC: https://tests.stockfishchess.org/tests/view/665ce3f8fd45fb0f907c537f LLR: 2.93 (-2.94;2.94) <-1.75;0.25> Total: 282784 W: 73032 L: 73082 D: 136670 Ptnml(0-2): 680; 31845; 76364; 31851; 652  Recently when I overhauled these comments; Disservin asked why these were so much lower: they're a relic from when we had a third QS stage at -5. Now we don't; so fix these to the obvious place.  I was fairly sure it was nonfunctional but ran the nonreg to be double sure.  closes https://github.com/official-stockfish/Stockfish/pull/5343  Bench: 1057383,True,0,2024-06-01
gahtan-syarif,Disservin,2024-06-03 21:18:36+00:00,Simplify smallnet threshold  Turns the quadratic threshold to a linear one  STC non-reg: https://tests.stockfishchess.org/tests/view/665ba0b744e8416a9cdc188d LLR: 2.95 (-2.94;2.94) <-1.75;0.25> Total: 330432 W: 85351 L: 85454 D: 159627 Ptnml(0-2): 888; 39643; 84283; 39488; 914  LTC non-reg: https://tests.stockfishchess.org/tests/view/665cd60ffd45fb0f907c4306 LLR: 2.95 (-2.94;2.94) <-1.75;0.25> Total: 139146 W: 35194 L: 35093 D: 68859 Ptnml(0-2): 58; 15523; 38313; 15618; 61  closes https://github.com/official-stockfish/Stockfish/pull/5342  Bench: 1057383,True,0,2024-06-01
FauziAkram,Disservin,2024-06-03 21:17:09+00:00,Simplify recapture extension  Simplifying the extension formula by removing the move == ttMove condition.  Passed STC: LLR: 2.93 (-2.94;2.94) <-1.75;0.25> Total: 47328 W: 12324 L: 12117 D: 22887 Ptnml(0-2): 134; 5532; 12097; 5795; 106 https://tests.stockfishchess.org/tests/view/665ca5e6fd45fb0f907c41be  Passed LTC: LLR: 2.95 (-2.94;2.94) <-1.75;0.25> Total: 72126 W: 18378 L: 18209 D: 35539 Ptnml(0-2): 36; 7841; 20130; 8030; 26 https://tests.stockfishchess.org/tests/view/665cb276fd45fb0f907c41f9  closes https://github.com/official-stockfish/Stockfish/pull/5341  Bench: 1399468,True,0,2024-06-01
FauziAkram,Disservin,2024-06-03 21:12:13+00:00,Simplify continuation histories  Functional simplification.  Simplify continuation histories; therefore increasing the effect of stats updates and movepicker bonuses for continuation history 3 plies deep.  Passed STC: LLR: 2.93 (-2.94;2.94) <-1.75;0.25> Total: 229184 W: 59087 L: 59080 D: 111017 Ptnml(0-2): 554; 27248; 59002; 27213; 575 https://tests.stockfishchess.org/tests/view/665c7a09fd45fb0f907c223b  Passed LTC: LLR: 2.95 (-2.94;2.94) <-1.75;0.25> Total: 44532 W: 11419 L: 11223 D: 21890 Ptnml(0-2): 18; 4787; 12457; 4989; 15 https://tests.stockfishchess.org/tests/view/665c8842fd45fb0f907c23ec  closes https://github.com/official-stockfish/Stockfish/pull/5339  Bench: 1326444,True,0,2024-06-01
Disservin,Disservin,2024-06-03 21:11:59+00:00,Add helpers for managing aligned memory  Previously; we had two type aliases; LargePagePtr and AlignedPtr; which required manually initializing the aligned memory for the pointer.  The new helpers:  - make_unique_aligned - make_unique_large_page  are now available for allocating aligned memory (with large pages). They behave similarly to std::make_unique; ensuring objects allocated with these functions follow RAII.  The old approach had issues with initializing non-trivial types or arrays of objects. The evaluation function of the network is now a unique pointer to an array instead of an array of unique pointers.  Memory related functions have been moved into memory.h  Passed High Hash Pressure Test Non-Regression STC: https://tests.stockfishchess.org/tests/view/665b2b36586058766677cfd2 LLR: 2.93 (-2.94;2.94) <-1.75;0.25> Total: 476992 W: 122426 L: 122677 D: 231889 Ptnml(0-2): 1145; 51027; 134419; 50744; 1161  Failed Normal Non-Regression STC: https://tests.stockfishchess.org/tests/view/665b2997586058766677cfc8 LLR: -2.94 (-2.94;2.94) <-1.75;0.25> Total: 877312 W: 225233 L: 226395 D: 425684 Ptnml(0-2): 2110; 94642; 246239; 93630; 2035  Probably a fluke since there shouldn't be a real slowndown and it has also passed the high hash pressure test.  closes https://github.com/official-stockfish/Stockfish/pull/5332  No functional change,True,0,2024-06-01
Sopel97,vondele,2024-06-03 06:54:24+00:00,Fix GetProcessGroupAffinity call  `GetProcessGroupAffinity` appears to require 4 byte alignment for `GroupArray` memory.  See https://stackoverflow.com/q/78567676 for further information  closes https://github.com/official-stockfish/Stockfish/pull/5340  No functional change,True,0,2024-06-01
vondele,vondele,2024-06-02 07:23:28+00:00,"Revert ""Adjust return bonus from tt cutoffs at fail highs""  This reverts commit 783dfc2eb235236ff799618436d68d0c1a3f3807.  could lead to a division by zero for:  ttValue = (ttValue * tte->depth() + beta) / (tte->depth() + 1)  as other threads can overwrite the tte with a QS depth of -1.  closes https://github.com/official-stockfish/Stockfish/pull/5338  Bench: 1280020",True,6,2024-06-01
linrock,vondele,2024-06-01 18:17:38+00:00,Simplify statScore divisor into a constant  Passed non-regression STC: https://tests.stockfishchess.org/tests/view/665b392ff4a1fd0c208ea864 LLR: 2.93 (-2.94;2.94) <-1.75;0.25> Total: 114752 W: 29628 L: 29495 D: 55629 Ptnml(0-2): 293; 13694; 29269; 13827; 293  Passed non-regression LTC: https://tests.stockfishchess.org/tests/view/665b588c11645bd3d3fac467 LLR: 2.95 (-2.94;2.94) <-1.75;0.25> Total: 65322 W: 16549 L: 16373 D: 32400 Ptnml(0-2): 30; 7146; 18133; 7322; 30  closes https://github.com/official-stockfish/Stockfish/pull/5337  bench 1241443,True,5,2024-06-01
xoto10,vondele,2024-06-01 18:12:36+00:00,Simplify tm; removing faster 1st move and 1.13 extraTime.  Passed STC 10+0.1 : LLR: 2.93 (-2.94;2.94) <-1.75;0.25> Total: 349760 W: 90112 L: 90231 D: 169417 Ptnml(0-2): 784; 37970; 97496; 37841; 789 https://tests.stockfishchess.org/tests/view/665aeee00223e235f05b7d21  Passed LTC 60+0.6 : LLR: 2.95 (-2.94;2.94) <-1.75;0.25> Total: 140082 W: 35463 L: 35370 D: 69249 Ptnml(0-2): 59; 13492; 42851; 13575; 64 https://tests.stockfishchess.org/tests/view/665b15e78da109e362924e5a  closes https://github.com/official-stockfish/Stockfish/pull/5334  No functional change,True,5,2024-06-01
MinetaS,vondele,2024-06-01 18:09:47+00:00,Simplify 50 move rule dampening  Refactor the logic of 50 move rule dampening by removing a constant.  Passed non-regression STC: LLR: 2.93 (-2.94;2.94) <-1.75;0.25> Total: 35232 W: 9214 L: 8992 D: 17026 Ptnml(0-2): 114; 4081; 8999; 4313; 109 https://tests.stockfishchess.org/tests/view/665a329013d08af3c1725610  Passed non-regression LTC: LLR: 2.94 (-2.94;2.94) <-1.75;0.25> Total: 38406 W: 9732 L: 9530 D: 19144 Ptnml(0-2): 14; 4132; 10708; 4336; 13 https://tests.stockfishchess.org/tests/view/665a370913d08af3c1725651  https://github.com/official-stockfish/Stockfish/pull/5327  Bench: 1059739,True,5,2024-06-01
FauziAkram,vondele,2024-06-01 18:08:08+00:00,Simplify histories movepick formula  Passed STC: LLR: 2.93 (-2.94;2.94) <-1.75;0.25> Total: 81440 W: 21100 L: 20929 D: 39411 Ptnml(0-2): 248; 9659; 20718; 9864; 231 https://tests.stockfishchess.org/tests/view/6659a8b7ea624d64ea5f3208  Passed LTC: LLR: 2.94 (-2.94;2.94) <-1.75;0.25> Total: 85758 W: 21763 L: 21607 D: 42388 Ptnml(0-2): 34; 9606; 23463; 9722; 54 https://tests.stockfishchess.org/tests/view/6659d7bff426908fcc6b692c  closes https://github.com/official-stockfish/Stockfish/pull/5326  bench: 1280472,True,5,2024-06-01
vondele,vondele,2024-06-01 18:04:30+00:00,Avoid changing bestvalue  in the case the ttValue contains mate scores; do not return them as bestValue; since they are not proven.  passed STC https://tests.stockfishchess.org/tests/view/665b1ea5586058766677cfa3 LLR: 2.93 (-2.94;2.94) <-1.75;0.25> Total: 58912 W: 15319 L: 15130 D: 28463 Ptnml(0-2): 141; 6562; 15854; 6765; 134  passed LTC: https://tests.stockfishchess.org/tests/view/665b2712586058766677cfc4 LLR: 2.94 (-2.94;2.94) <-1.75;0.25> Total: 141666 W: 35976 L: 35879 D: 69811 Ptnml(0-2): 61; 15513; 39584; 15618; 57  closes https://github.com/official-stockfish/Stockfish/pull/5335  Bench: 1336115,True,5,2024-06-01
Vizvezdenec,vondele,2024-06-01 18:02:09+00:00,Adjust return bonus from tt cutoffs at fail highs  This is reintroduction of the recently simplified logic - if positive tt cutoff occurs return not a tt value but smth between it and beta.  Difference is that instead of static linear combination there we use basically the same formula as we do in the main search - with the only difference being using tt depth instead of depth; which makes a lot of sense.  Passed STC: https://tests.stockfishchess.org/tests/view/665b3a34f4a1fd0c208ea870 LLR: 2.95 (-2.94;2.94) <0.00;2.00> Total: 54944 W: 14239 L: 13896 D: 26809 Ptnml(0-2): 151; 6407; 14008; 6760; 146  Passed LTC: https://tests.stockfishchess.org/tests/view/665b520011645bd3d3fac341 LLR: 2.94 (-2.94;2.94) <0.50;2.50> Total: 90540 W: 23070 L: 22640 D: 44830 Ptnml(0-2): 39; 9903; 24965; 10315; 48  closes https://github.com/official-stockfish/Stockfish/pull/5336  bench 1381237,True,5,2024-06-01
linrock,vondele,2024-06-01 17:59:07+00:00,Update default smallnet to nn-37f18f62d772.nnue  Created by training L1-128 from scratch with: - skipping based on simple eval in the trainer; for compatibility with   regular binpacks without requiring pre-filtering all binpacks - minimum simple eval of 950; lower than 1000 previously - usage of some hse-v1 binpacks with minimum simple eval 1000 - addition of hse-v6 binpacks with minimum simple eval 500 - permuting the FT with 10k positions from fishpack32.binpack - torch.compile to speed up smallnet training  Training is significantly slower when using non-pre-filtered binpacks due to the increased skipping required.  This net was reached at epoch 339.  ``` experiment-name: 128--S1-hse-1k-T80-v6-unfilt-less-sf--se-gt950-no-wld-skip  training-dataset:   /data/:     - dfrc99-16tb7p.v2.min.binpack    /data/hse-v1/:     - leela96-filt-v2.min.high-simple-eval-1k.min-v2.binpack      - test60-novdec2021-12tb7p-filter-v6-dd.min-mar2023.unmin.high-simple-eval-1k.min-v2.binpack      - test77-nov2021-2tb7p.no-db.min.high-simple-eval-1k.min-v2.binpack     - test77-dec2021-16tb7p.no-db.min.high-simple-eval-1k.min-v2.binpack     - test77-jan2022-2tb7p.high-simple-eval-1k.min-v2.binpack      - test78-jantomay2022-16tb7p-filter-v6-dd.min-mar2023.unmin.high-simple-eval-1k.min-v2.binpack     - test78-juntosep2022-16tb7p-filter-v6-dd.min-mar2023.unmin.high-simple-eval-1k.min-v2.binpack      - test79-apr2022-16tb7p.min.high-simple-eval-1k.min-v2.binpack     - test79-may2022-16tb7p-filter-v6-dd.min-mar2023.unmin.high-simple-eval-1k.min-v2.binpack      - test80-apr2022-16tb7p.min.high-simple-eval-1k.min-v2.binpack     - test80-may2022-16tb7p.high-simple-eval-1k.min-v2.binpack     - test80-jun2022-16tb7p-filter-v6-dd.min-mar2023.unmin.high-simple-eval-1k.min-v2.binpack     - test80-jul2022-16tb7p.v6-dd.min.high-simple-eval-1k.min-v2.binpack     - test80-sep2022-16tb7p-filter-v6-dd.min-mar2023.unmin.high-simple-eval-1k.min-v2.binpack     - test80-nov2022-16tb7p-v6-dd.min.high-simple-eval-1k.min-v2.binpack    /data/S11-mar2024/:     - test80-2022-08-aug-16tb7p.v6-dd.min.binpack     - test80-2022-10-oct-16tb7p.v6-dd.binpack     - test80-2022-12-dec-16tb7p.min.binpack      - test80-2023-01-jan-16tb7p.v6-sk20.min.binpack     - test80-2023-02-feb-16tb7p.v6-sk20.min.binpack     - test80-2023-03-mar-2tb7p.v6-sk16.min.binpack     - test80-2023-04-apr-2tb7p.v6-sk16.min.binpack     - test80-2023-05-may-2tb7p.v6.min.binpack     - test80-2023-06-jun-2tb7p.binpack.min-v2.binpack     - test80-2023-07-jul-2tb7p.binpack.min-v2.binpack     - test80-2023-08-aug-2tb7p.v6.min.binpack     - test80-2023-09-sep-2tb7p.binpack.hse-v6.binpack     - test80-2023-10-oct-2tb7p.binpack.hse-v6.binpack     - test80-2023-11-nov-2tb7p.binpack.hse-v6.binpack     - test80-2023-12-dec-2tb7p.binpack.hse-v6.binpack      - test80-2024-01-jan-2tb7p.binpack.hse-v6.binpack     - test80-2024-02-feb-2tb7p.binpack.hse-v6.binpack     - test80-2024-03-mar-2tb7p.binpack  wld-fen-skipping: False  nnue-pytorch-branch: linrock/nnue-pytorch/128-skipSimpleEval-lt950-torch-compile engine-test-branch: linrock/Stockfish/L1-128-nolazy engine-base-branch: linrock/Stockfish/L1-128 start-from-engine-test-net: False  num-epochs: 500 start-lambda: 1.0 end-lambda: 1.0 ```  Training data can be found at: https://robotmoon.com/nnue-training-data/  Passed STC: https://tests.stockfishchess.org/tests/view/66549c16a86388d5e27daff5 LLR: 2.93 (-2.94;2.94) <0.00;2.00> Total: 196608 W: 51254 L: 50697 D: 94657 Ptnml(0-2): 722; 23244; 49796; 23839; 703  Passed LTC: https://tests.stockfishchess.org/tests/view/6658d1aa6b0e318cefa90122 LLR: 2.96 (-2.94;2.94) <0.50;2.50> Total: 122538 W: 31332 L: 30835 D: 60371 Ptnml(0-2): 69; 13407; 33811; 13922; 60  closes https://github.com/official-stockfish/Stockfish/pull/5333  bench,True,5,2024-06-01
rn5f107s2,vondele,2024-06-01 17:58:20+00:00,MCP more after a bad singular search  The idea is; that if we have the information that the singular search failed low and therefore produced an upperbound score; we can use the score from singularsearch as approximate upperbound as to what bestValue our non ttMoves will produce. If this value is well below alpha; we assume that all non-ttMoves will score below alpha and therfore can skip more moves. This patch also sets up variables for future patches wanting to use teh singular search result outside of singular extensions; in singularBound and singularValue; meaning further patches using this search result to affect various pruning techniques can be tried.  Passed STC: https://tests.stockfishchess.org/tests/view/6658d13e6b0e318cefa90120 LLR: 2.94 (-2.94;2.94) <0.00;2.00> Total: 85632 W: 22112 L: 21725 D: 41795 Ptnml(0-2): 243; 10010; 21947; 10349; 267  Passed LTC: https://tests.stockfishchess.org/tests/view/6658dd356b0e318cefa9016a LLR: 2.94 (-2.94;2.94) <0.50;2.50> Total: 243978 W: 62014 L: 61272 D: 120692 Ptnml(0-2): 128; 26598; 67791; 27348; 124  closes https://github.com/official-stockfish/Stockfish/pull/5325  bench 1397172,True,5,2024-06-01
linrock,vondele,2024-06-01 17:56:05+00:00,Quadratic smallnet threshold with re-evaluation  The threshold now decreases more quickly as pawn count decreases; using the smallnet more compared to before.  Combo of two eval patches: https://tests.stockfishchess.org/tests/view/66576c5f6b0e318cefa8d26e https://tests.stockfishchess.org/tests/view/664ced40830eb9f886616a77  Passed STC: https://tests.stockfishchess.org/tests/view/66588c136b0e318cefa8ff21 LLR: 2.94 (-2.94;2.94) <0.00;2.00> Total: 112608 W: 29336 L: 28908 D: 54364 Ptnml(0-2): 344; 13223; 28718; 13699; 320  Passed LTC: https://tests.stockfishchess.org/tests/view/6658c8786b0e318cefa900f5 LLR: 2.96 (-2.94;2.94) <0.50;2.50> Total: 108288 W: 27493 L: 27026 D: 53769 Ptnml(0-2): 54; 11821; 29930; 12282; 57  closes https://github.com/official-stockfish/Stockfish/pull/5323  bench 1728074,True,5,2024-06-01
FauziAkram,vondele,2024-06-01 17:53:13+00:00,Tweak first picked move (ttMove) reduction rule  Tweak first picked move (ttMove) reduction rule:  Instead of always resetting the reduction to 0; we now only do so if the current reduction is less than 2. If the current reduction is 2 or more; we decrease it by 2 instead.  Passed STC: LLR: 2.93 (-2.94;2.94) <0.00;2.00> Total: 109504 W: 28340 L: 27919 D: 53245 Ptnml(0-2): 305; 12848; 28028; 13263; 308 https://tests.stockfishchess.org/tests/view/6658c2fa6b0e318cefa900c2  Passed LTC: LLR: 2.96 (-2.94;2.94) <0.50;2.50> Total: 130410 W: 33248 L: 32738 D: 64424 Ptnml(0-2): 53; 14139; 36328; 14615; 70 https://tests.stockfishchess.org/tests/view/6658dd8a6b0e318cefa90173  closes https://github.com/official-stockfish/Stockfish/pull/5321  bench: 1224588,True,5,2024-06-01
vondele,Disservin,2024-05-30 21:07:25+00:00,Fix cross from Linux to Windows  specifies Windows 7 required  https://learn.microsoft.com/en-us/cpp/porting/modifying-winver-and-win32-winnt?view=msvc-170  closes https://github.com/official-stockfish/Stockfish/pull/5319  No functional change,True,3,2024-05-01
Sopel97,Disservin,2024-05-30 21:05:25+00:00,On linux use sysfs instead of lscpu  Use sysfs (https://www.kernel.org/doc/Documentation/ABI/stable/sysfs-devices-node) to determine processor to NUMA node mapping.  Avoids problems on some machines with high core count where lscpu was showing high cpu utilization.  closes https://github.com/official-stockfish/Stockfish/pull/5315  No functional change,True,3,2024-05-01
